"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
3657020,"Edema of right lower eyelid",40124,57134,1,"100%~Edema of right lower eyelid (H02.842)45533195;40124 patients","Edema of right lower eyelid",0.563786008230453,"342471000119104"
3662401,"Edema of left lower eyelid",39831,55771,1,"100%~Edema of left lower eyelid (H02.845)45586347;39831 patients","Edema of left lower eyelid",0.561042524005487,"342501000119105"
37168360,"Detachment of right retina with retinal break",12377,53485,1,"100%~Retinal detachment with giant retinal tear, right eye (H33.031)45552661;12377 patients","Retinal detachment with giant retinal tear, right eye",0.559670781893004,"1279847002"
37168359,"Detachment of left retina with retinal break",11898,52031,1,"100%~Retinal detachment with giant retinal tear, left eye (H33.032)45596065;11898 patients","Retinal detachment with giant retinal tear, left eye",0.558299039780521,"1279846006"
35626038,"Mild nonproliferative retinopathy of right eye due to diabetes mellitus",9863,46726,2,"53.6%~Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye (E08.3211)37200027;3735 patients | 
46.4%~Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye (E08.3291)37200031;6128 patients","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye | 
Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",0.539094650205761,"769183005"
1077052,"Mechanical entropion of right lower eyelid",12143,45423,1,"100%~Mechanical entropion of right lower eyelid (H02.022)45571849;12143 patients","Mechanical entropion of right lower eyelid",0.53360768175583,"334131000119100"
36713155,"Abscess of right lower eyelid",28223,44480,1,"100%~Abscess of right lower eyelid (H00.032)45552555;28223 patients","Abscess of right lower eyelid",0.526748971193416,"347651000119107"
36717200,"Abscess of left lower eyelid",26639,43000,1,"100%~Abscess of left lower eyelid (H00.035)45562118;26639 patients","Abscess of left lower eyelid",0.519890260631001,"347681000119100"
37168148,"Multiple lesions of retina of left eye without detachment",17222,42735,1,"100%~Multiple defects of retina without detachment, left eye (H33.332)45591317;17222 patients","Multiple defects of retina without detachment, left eye",0.517146776406036,"1279496001"
37168136,"Multiple lesions of retina of right eye without detachment",17329,42637,1,"100%~Multiple defects of retina without detachment, right eye (H33.331)45581648;17329 patients","Multiple defects of retina without detachment, right eye",0.515775034293553,"1275622007"
1077020,"Mechanical entropion of right upper eyelid",8206,39903,1,"100%~Mechanical entropion of right upper eyelid (H02.021)45533182;8206 patients","Mechanical entropion of right upper eyelid",0.510288065843621,"331561000119103"
1077095,"Mechanical entropion of left lower eyelid",10704,39249,1,"100%~Mechanical entropion of left lower eyelid (H02.025)45571851;10704 patients","Mechanical entropion of left lower eyelid",0.507544581618656,"339731000119103"
1077061,"Mechanical entropion of left upper eyelid",7778,37563,1,"100%~Mechanical entropion of left upper eyelid (H02.024)45571850;7778 patients","Mechanical entropion of left upper eyelid",0.49519890260631,"337171000119107"
3657021,"Eczematous dermatitis of right lower eyelid",24009,37055,1,"100%~Eczematous dermatitis of right lower eyelid (H01.132)45542926;24009 patients","Eczematous dermatitis of right lower eyelid",0.491083676268861,"342531000119103"
35626039,"Mild nonproliferative retinopathy of left eye due to diabetes mellitus",7809,35889,2,"50.9%~Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye (E08.3212)37200028;2659 patients | 
49.1%~Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye (E08.3292)37200032;5150 patients","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye | 
Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",0.48559670781893,"769184004"
36684720,"Episcleritis of left eye",18607,35397,1,"100%~Episcleritis periodica fugax, left eye (H15.112)45533236;18607 patients","Episcleritis periodica fugax, left eye",0.482853223593964,"340861000119109"
36684727,"Neovascularization of left cornea",12276,35135,1,"100%~Unspecified corneal neovascularization, left eye (H16.402)45542980;12276 patients","Unspecified corneal neovascularization, left eye",0.481481481481481,"341231000119107"
3656899,"Cicatricial entropion of right lower eyelid",13113,33803,1,"100%~Cicatricial entropion of right lower eyelid (H02.012)45576622;13113 patients","Cicatricial entropion of right lower eyelid",0.471879286694102,"334241000119101"
36684661,"Neovascularization of right cornea",12004,33293,1,"100%~Unspecified corneal neovascularization, right eye (H16.401)45581599;12004 patients","Unspecified corneal neovascularization, right eye",0.465020576131687,"335621000119105"
36684654,"Episcleritis of right eye",17395,32722,1,"100%~Episcleritis periodica fugax, right eye (H15.111)45576666;17395 patients","Episcleritis periodica fugax, right eye",0.462277091906722,"335251000119100"
37207865,"Spastic entropion of right lower eyelid",11768,30929,1,"100%~Spastic entropion of right lower eyelid (H02.042)45557272;11768 patients","Spastic entropion of right lower eyelid",0.454046639231824,"334091000119102"
3656984,"Cicatricial entropion of left lower eyelid",11657,30478,1,"100%~Cicatricial entropion of left lower eyelid (H02.015)45547780;11657 patients","Cicatricial entropion of left lower eyelid",0.452674897119342,"339841000119101"
3657022,"Eczematous dermatitis of left lower eyelid",20468,30195,1,"100%~Eczematous dermatitis of left lower eyelid (H01.135)45571847;20468 patients","Eczematous dermatitis of left lower eyelid",0.449931412894376,"342561000119106"
37207896,"Central pterygium of right eye",13366,28594,1,"100%~Central pterygium of right eye (H11.021)45586368;13366 patients","Central pterygium of right eye",0.441700960219479,"336201000119108"
37207956,"Central pterygium of left eye",13410,28170,1,"100%~Central pterygium of left eye (H11.022)45533225;13410 patients","Central pterygium of left eye",0.434842249657064,"341811000119103"
37207925,"Spastic entropion of left lower eyelid",9573,25701,1,"100%~Spastic entropion of left lower eyelid (H02.045)45557273;9573 patients","Spastic entropion of left lower eyelid",0.415637860082305,"339691000119105"
37207902,"Xanthoma of left upper eyelid",13743,24927,1,"100%~Xanthelasma of left upper eyelid (H02.64)45576633;13743 patients","Xanthelasma of left upper eyelid",0.406035665294925,"337091000119107"
37207842,"Xanthoma of right upper eyelid",13598,24784,1,"100%~Xanthelasma of right upper eyelid (H02.61)45538168;13598 patients","Xanthelasma of right upper eyelid",0.403292181069959,"331481000119108"
3656854,"Cicatricial entropion of right upper eyelid",7612,21865,1,"100%~Cicatricial entropion of right upper eyelid (H02.011)45571848;7612 patients","Cicatricial entropion of right upper eyelid",0.392318244170096,"331671000119108"
36684693,"Recurrent pterygium of left eye",8251,21283,1,"100%~Recurrent pterygium of left eye (H11.062)45591258;8251 patients","Recurrent pterygium of left eye",0.385459533607682,"338321000119109"
45757708,"Low vision right eye, normal vision left eye",9876,21037,3,"65.7%~Low vision right eye category 1, normal vision left eye (H54.511A)1326583;7271 patients | 
34.3%~Low vision right eye category 2, normal vision left eye (H54.512A)1326584;2605 patients | 
NA","Low vision right eye category 1, normal vision left eye | 
Low vision right eye category 2, normal vision left eye | 
Low vision, right eye, normal vision left eye",0.384087791495199,"339911000119106"
36684630,"Recurrent pterygium of right eye",7784,20170,1,"100%~Recurrent pterygium of right eye (H11.061)45542961;7784 patients","Recurrent pterygium of right eye",0.377229080932785,"332711000119103"
1077019,"Mechanical lagophthalmos of right upper eyelid",9736,20053,1,"100%~Mechanical lagophthalmos right upper eyelid (H02.221)45605581;9736 patients","Mechanical lagophthalmos right upper eyelid",0.375857338820302,"331551000119100"
45757699,"Low vision left eye, normal vision right eye",10814,19991,3,"72%~Low vision left eye category 1, normal vision right eye (H54.52A1)1326586;7865 patients | 
28%~Low vision left eye category 2, normal vision right eye (H54.52A2)1326587;2949 patients | 
NA","Low vision left eye category 1, normal vision right eye | 
Low vision left eye category 2, normal vision right eye | 
Low vision, left eye, normal vision right eye",0.374485596707819,"334311000119108"
3656938,"Cicatricial entropion of left upper eyelid",6524,19392,1,"100%~Cicatricial entropion of left upper eyelid (H02.014)45586335;6524 patients","Cicatricial entropion of left upper eyelid",0.373113854595336,"337281000119103"
35626041,"Moderate nonproliferative diabetic retinopathy of right eye",3350,18162,2,"70.6%~Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye (E08.3311)37200035;1859 patients | 
29.4%~Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye (E08.3391)37200039;1491 patients","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye | 
Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",0.363511659807956,"769185003"
1077060,"Mechanical lagophthalmos of left upper eyelid",8853,18080,1,"100%~Mechanical lagophthalmos left upper eyelid (H02.224)45595981;8853 patients","Mechanical lagophthalmos left upper eyelid",0.362139917695473,"337161000119101"
42538748,"Retained nonmagnetic foreign body in right eye",5782,17188,5,"66.4%~Retained (nonmagnetic) (old) foreign body in vitreous body, right eye (H44.751)45586479;2370 patients | 
23%~Unspecified retained (old) intraocular foreign body, nonmagnetic, right eye (H44.701)45605701;2420 patients | 
5.3%~Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, right eye (H44.791)45543061;636 patients | 
3%~Retained (nonmagnetic) (old) foreign body in posterior wall of globe, right eye (H44.741)45605702;185 patients | 
2.4%~Retained (nonmagnetic) (old) foreign body in iris or ciliary body, right eye (H44.721)45591369;171 patients","Retained (nonmagnetic) (old) foreign body in vitreous body, right eye | 
Unspecified retained (old) intraocular foreign body, nonmagnetic, right eye | 
Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, right eye | 
Retained (nonmagnetic) (old) foreign body in posterior wall of globe, right eye | 
Retained (nonmagnetic) (old) foreign body in iris or ciliary body, right eye",0.352537722908093,"762526006"
37208010,"Pigment dispersion syndrome of right eye",7113,16982,1,"100%~Degeneration of iris (pigmentary), right eye (H21.231)45538234;7113 patients","Degeneration of iris (pigmentary), right eye",0.35116598079561,"348081000119109"
37208015,"Pigment dispersion syndrome of left eye",6724,15863,1,"100%~Degeneration of iris (pigmentary), left eye (H21.232)45586412;6724 patients","Degeneration of iris (pigmentary), left eye",0.34156378600823,"348531000119101"
