"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
81151,45608717,1782990,3842048,"Sprain of unspecified ligament of left ankle, initial encounter","Sprain of ankle"
435262,37200439,589078,3839349,"Primary open-angle glaucoma, bilateral, severe stage","Primary open angle glaucoma"
4311499,45581206,380431,3821965,"Malignant neoplasm of unspecified part of left bronchus or lung","Primary malignant neoplasm of respiratory tract"
4181965,45606023,739897,3772263,"Non-pressure chronic ulcer of other part of right foot with unspecified severity","Chronic ulcer of foot"
45763549,45552768,1787616,3769484,"Tinnitus, bilateral","Bilateral tinnitus"
40480429,45571830,832173,3764989,"Hemiplegia, unspecified affecting left nondominant side","Hemiplegia of nondominant side"
434500,45603323,665592,3753237,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture","Closed fracture of neck of femur"
759859,45557692,1260014,3730636,"Cellulitis of right upper limb","Cellulitis of right upper limb"
434500,45598494,648839,3723387,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture","Closed fracture of neck of femur"
372629,37200394,1069557,3721124,"Nonexudative age-related macular degeneration, bilateral, intermediate dry stage","Nonexudative age-related macular degeneration"
759860,45533630,1244698,3699608,"Cellulitis of left upper limb","Cellulitis of left upper limb"
380111,45576654,2036613,3692047,"Acute atopic conjunctivitis, bilateral","Acute atopic conjunctivitis"
376707,45538199,2588449,3676043,"Unspecified acute conjunctivitis, bilateral","Acute conjunctivitis"
4181965,45572300,720744,3644588,"Non-pressure chronic ulcer of other part of left foot with unspecified severity","Chronic ulcer of foot"
40482237,45538140,777402,3638937,"Hemiplegia, unspecified affecting right dominant side","Hemiplegia of dominant side"
4077895,45538867,1717658,3547958,"Pain in right finger(s)","Pain in finger"
4157454,45556973,203651,3468951,"Malignant neoplasm of lower lobe, left bronchus or lung","Primary malignant neoplasm of lower lobe, bronchus or lung"
4130851,45569404,2170328,3378059,"Unspecified injury of right wrist, hand and finger(s), initial encounter","Injury of upper extremity"
201826,37200204,1039357,3318285,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral","Type 2 diabetes mellitus"
45757435,37200204,1039357,3318285,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral","Mild nonproliferative retinopathy due to type 2 diabetes mellitus"
4172970,45533932,838116,3243127,"Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic","Nontraumatic rotator cuff tear"
42537748,45537694,145456,3233723,"Acquired absence of right leg above knee","Acquired absence of organ"
37109843,45537694,145456,3233723,"Acquired absence of right leg above knee","Absence of lower limb"
376966,37200415,270688,3224876,"Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization","Exudative age-related macular degeneration"
604749,45557412,1014422,3197899,"Open angle with borderline findings, high risk, bilateral","Open angle glaucoma suspect"
4038038,45586558,2068969,3149650,"Otalgia, bilateral","Bilateral earache"
42537748,45556876,144343,3143959,"Acquired absence of left leg above knee","Acquired absence of organ"
37109843,45556876,144343,3143959,"Acquired absence of left leg above knee","Absence of lower limb"
4181965,45572299,634558,3099236,"Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin","Chronic ulcer of foot"
4077895,45606323,1499025,3075035,"Pain in left finger(s)","Pain in finger"
197610,37200900,1130116,3014233,"Unspecified ovarian cyst, right side","Cyst of ovary"
4172970,45533934,574372,2980653,"Complete rotator cuff tear or rupture of left shoulder, not specified as traumatic","Nontraumatic rotator cuff tear"
762212,45567649,956808,2926394,"Bursitis of right shoulder","Bursitis of right shoulder"
4130851,45564568,1910397,2920669,"Unspecified injury of left wrist, hand and finger(s), initial encounter","Injury of upper extremity"
4181965,45538608,601850,2913061,"Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin","Chronic ulcer of foot"
40481089,45538453,655197,2904470,"Acute embolism and thrombosis of unspecified deep veins of left lower extremity","Embolism from thrombosis of vein of lower extremity"
432312,45543042,898302,2791801,"Anatomical narrow angle, bilateral","Chronic angle-closure glaucoma"
198985,45600517,233263,2782657,"Malignant neoplasm of right kidney, except renal pelvis","Primary malignant neoplasm of kidney"
43530685,37200224,207697,2782464,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral","Proliferative retinopathy due to type 2 diabetes mellitus"
45770830,37200224,207697,2782464,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral","Macular edema and retinopathy due to type 2 diabetes mellitus"
37170707,45572289,462138,2748322,"Pressure ulcer of right buttock, stage 2","Pressure injury of right buttock stage II"
44782715,45581837,163423,2736713,"Chronic venous hypertension (idiopathic) with ulcer of left lower extremity","Chronic peripheral venous hypertension with lower extremity complication"
197304,45581837,163423,2736713,"Chronic venous hypertension (idiopathic) with ulcer of left lower extremity","Ulcer of lower extremity"
43530742,45538418,240232,2719432,"Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side","Paralytic syndrome on one side of the body as late effect of cerebrovascular accident"
